A00,Cólera
T135,Traumatismo músculo tendão não especificado membro inferior
T136,Amputação traumática membro inferior
T138,Outros traumatismos especificados membro inferior
T139,Traumatismo não especificado membro inferior
T140,Traumatismo superficial região não especificada corpo
T141,Ferimento região não especificada corpo
T142,Fratura região não especificada corpo
T143,Luxação
T144,Traumatismo nervo(s) região não especificada corpo
T145,Traumatismo vaso(s) sangüíneo(s) região não especificada corpo
T146,Traumatismo músculos tendões região não especificada corpo
T147,Traumatismo esmagamento amputação traumática regiões não especificadas corpo
T148,Outros traumatismos região não especificada corpo
T149,Traumatismo não especificado
T150,Corpo estranho na córnea
T151,Corpo estranho no saco conjuntival
T158,Corpo estranho outros locais locais múltiplos parte externa olho
T159,Corpo estranho parte não especificada região externa olho
T16,Corpo estranho no ouvido
T170,Corpo estranho no seio nasal
T171,Corpo estranho na narina
T172,Corpo estranho na faringe
T173,Corpo estranho na laringe
T174,Corpo estranho na traquéia
T175,Corpo estranho no brônquio
T178,Corpo estranho outras partes partes múltiplas trato respiratório
T179,Corpo estranho no trato respiratório
T180,Corpo estranho na boca
T181,Corpo estranho no esôfago
T182,Corpo estranho no estômago
T183,Corpo estranho no intestino delgado
T184,Corpo estranho no cólon
T185,Corpo estranho no ânus reto
T188,Corpo estranho outras partes partes múltiplas aparelho digestivo
T189,Corpo estranho parte não especificada aparelho digestivo
T190,Corpo estranho na uretra
T191,Corpo estranho na bexiga
T192,Corpo estranho na vulva vagina
T193,Corpo estranho no útero [qualquer parte]
T198,Corpo estranho outras partes partes múltiplas trato geniturinário
T199,Corpo estranho no trato geniturinário
T200,Queimadura cabeça pescoço
T201,Queimadura primeiro grau cabeça pescoço
T202,Queimadura segundo grau cabeça pescoço
T203,Queimadura terceiro grau cabeça pescoço
T204,Corrosão cabeça pescoço
T205,Corrosão primeiro grau cabeça pescoço
T206,Corrosão segundo grau cabeça pescoço
T207,Corrosão terceiro grau cabeça pescoço
T210,Queimadura tronco
T211,Queimadura primeiro grau tronco
T212,Queimadura segundo grau tronco
T213,Queimadura terceiro grau tronco
T214,Corrosão tronco
T215,Corrosão primeiro grau tronco
T216,Corrosão segundo grau tronco
T217,Corrosão terceiro grau tronco
T220,Queimadura ombro membro superior
T221,Queimadura primeiro grau ombro membro superior
T222,Queimadura segundo grau ombro membro superior
T223,Queimadura terceiro grau ombro membro superior
T224,Corrosão ombro membro superior
T225,Corrosão primeiro grau ombro membro superior
T226,Corrosão segundo grau ombro membro superior
T227,Corrosão terceiro grau ombro membro superior
T230,Queimadura punho mão
T231,Queimadura primeiro grau punho mão
T232,Queimadura segundo grau punho mão
T233,Queimadura terceiro grau punho mão
T234,Corrosão punho mão
T235,Corrosão primeiro grau punho mão
T236,Corrosão segundo grau punho mão
T237,Corrosão terceiro grau punho mão
T240,Queimadura quadril membro inferior
T241,Queimadura primeiro grau quadril membro inferior
T242,Queimadura segundo grau quadril membro inferior
T243,Queimadura terceiro grau quadril membro inferior
T244,Corrosão quadril membro inferior
T245,Corrosão primeiro grau quadril membro inferior
T246,Corrosão segundo grau quadril membro inferior
T247,Corrosão terceiro grau quadril membro inferior
T250,Queimadura tornozelo pé
T251,Queimadura primeiro grau tornozelo pé
T252,Queimadura segundo grau tornozelo pé
T253,Queimadura terceiro grau tornozelo pé
T254,Corrosão tornozelo pé
T255,Corrosão primeiro grau tornozelo pé
T256,Corrosão segundo grau tornozelo pé
T257,Corrosão terceiro grau tornozelo pé
T260,Queimadura pálpebra região periocular
T261,Queimadura córnea saco conjuntival
T262,Queimadura resultante ruptura destruição globo ocular
T263,Queimadura outras partes olho anexos
T264,Queimadura olho anexos
T265,Corrosão pálpebra região periocular
T266,Corrosão córnea saco conjuntival
T267,Corrosão resultante ruptura destruição globo ocular
T268,Corrosão outras partes olho anexos
T269,Corrosão olho anexos
T270,Queimadura laringe traquéia
T271,Queimadura laringe
T272,Queimadura outras partes trato respiratório
T273,Queimadura trato respiratório
T274,Corrosão laringe traquéia
T275,Corrosão laringe
T276,Corrosão outras partes trato respiratório
T277,Corrosão trato respiratório
T280,Queimadura boca faringe
T281,Queimadura esôfago
T282,Queimadura outras partes trato alimentar
T283,Queimadura órgãos geniturinários internos
T284,Queimadura outros órgãos internos não especificados
T285,Corrosão boca faringe
T286,Corrosão esôfago
T287,Corrosão outras partes trato alimentar
T288,Corrosão órgãos geniturinários internos
T289,Corrosão outros órgãos internos não especificados
T290,Queimaduras múltiplas
T291,Queimaduras múltiplas
T292,Queimaduras múltiplas
T293,Queimaduras múltiplas
T294,Corrosões múltiplas
T295,Corrosões múltiplas
T296,Corrosões múltiplas
T297,Corrosões múltiplas
T300,Queimadura
T301,Queimadura primeiro grau
T302,Queimadura segundo grau
T303,Queimadura terceiro grau
T304,Corrosão
T305,Corrosão primeiro grau
T306,Corrosão segundo grau
T307,Corrosão terceiro grau
T310,Queimaduras envolvendo menos 10% superfície corporal
T311,Queimaduras envolvendo 10 - 19% superfície corporal
T312,Queimaduras envolvendo 20 - 29% superfície corporal
T313,Queimaduras envolvendo 30 - 39% superfície corporal
T314,Queimaduras envolvendo 40 - 49% superfície corporal
T315,Queimaduras envolvendo 50 - 59% superfície corporal
T316,Queimaduras envolvendo 60 - 69% superfície corporal
T317,Queimaduras envolvendo 70 - 79% superfície corporal
T318,Queimaduras envolvendo 80 - 89% superfície corporal
T319,Queimaduras envolvendo 90% mais superfície corporal
T320,Corrosões envolvendo menos 10% superfície corporal
T321,Corrosões envolvendo 10 - 19% superfície corporal
T322,Corrosões envolvendo 20 - 29% superfície corporal
T323,Corrosões envolvendo 30 - 39% superfície corporal
T324,Corrosões envolvendo 40 - 49% superfície corporal
T325,Corrosões envolvendo 50 - 59% superfície corporal
T326,Corrosões envolvendo 60 - 69% superfície corporal
T327,Corrosões envolvendo 70 - 79% superfície corporal
T328,Corrosões envolvendo 80 - 89% superfície corporal
T329,Corrosões envolvendo 90% mais superfície corporal
T330,Geladura superficial cabeça
T331,Geladura superficial pescoço
T332,Geladura superficial tórax
T333,Geladura superficial parede abdominal
T334,Geladura superficial braço
T335,Geladura superficial punho mão
T336,Geladura superficial quadril coxa
T337,Geladura superficial joelho perna
T338,Geladura superficial tornozelo pé
T339,Geladura superficial outros locais locais não especificados
T340,Geladura
T341,Geladura
T342,Geladura
T343,Geladura
T344,Geladura
T345,Geladura
T346,Geladura
T347,Geladura
T348,Geladura
T349,Geladura
T350,Geladura superficial envolvendo múltiplas partes corpo
T351,Geladura
T352,Geladura
T353,Geladura
T354,Geladura
T355,Geladura
T356,Geladura
T357,Geladura
T360,Intoxicação penicilinas
T361,Intoxicação cefalosporinas outras betalactaminas
T362,Intoxicação  grupo cloranfenicol
T363,Intoxicação macrolídios
T364,Intoxicação tetraciclinas
T365,Intoxicação aminoglicosídeos
T366,Intoxicação rifamicinas
T367,Intoxicação antibióticos antifúngicos administrados via sistêmica
T368,Intoxicação outros antibióticos sistêmicos
T369,Intoxicação antibióticos sistêmicos não especificados
T370,Intoxicação sulfonamidas
T371,Intoxicação drogas antimicobacterianas
T372,Intoxicação antimaláricos drogas que atuam sobre outros protozoários sangue
T373,Intoxicação outros medicamentos antiprotozoários
T374,Intoxicação anti-helmínticos
T375,Intoxicação drogas antivirais
T378,Intoxicação outros agentes antiinfecciosos antiparasitários especificados
T379,Intoxicação agentes antiinfecciosos antiparasitários sistêmicos não especificados
T380,Intoxicação glicocorticóides análogos sintéticos
T381,Intoxicação hormônios tireoidianos seus derivados
T382,Intoxicação medicamentos antitireoidianos
T383,Intoxicação insulina drogas hipoglicemiantes orais [antidiabéticos]
T384,Intoxicação anticoncepcionais orais
T385,Intoxicação outros estrógenos progestágenos
T386,Intoxicação antigonadotrofinas
T387,Intoxicação andrógenos anabolizantes congêneres
T388,Intoxicação outros hormônios substitutos sintéticos
T389,Intoxicação outros antagonistas hormonais
T390,Intoxicação salicilatos
T391,Intoxicação derivados 4-aminofenol
T392,Intoxicação derivados pirazolônicos
T393,Intoxicação outros antiinflamatórios não esteróides
T394,Intoxicação anti-reumáticos não classificados outra parte
T398,Intoxicação outros analgésicos não opiáceos antipiréticos não classificados outra parte
T399,Intoxicação analgésico não-opiáceo
T400,Intoxicação ópio
T401,Intoxicação heroína
T402,Intoxicação outros opiáceos
T403,Intoxicação metadona
T404,Intoxicação outros narcóticos sintéticos
T405,Intoxicação cocaína
T406,Intoxicação outros narcóticos os não especificados
T407,Intoxicação cannabis (derivados)
T408,Intoxicação lisergida [LSD]
T409,Intoxicação outros psicodislépticos os não especificados [alucinógenos]
T410,Intoxicação anestésicos inalatórios
T411,Intoxicação anestésicos intravenosos
T412,Intoxicação outros anestésicos gerais os não especificados
T413,Intoxicação anestésicos locais
T414,Intoxicação anestésico não especificado
T415,Intoxicação gases terapêuticos
T420,Intoxicação derivados hidantoína
T421,Intoxicação iminostilbenos
T422,Intoxicação succinimidas oxazolidinadionas
T423,Intoxicação barbitúricos
T424,Intoxicação benzodiazepinas
T425,Intoxicação antiepiléticos associação
T426,Intoxicação outras drogas antiepilépticas sedativos-hipnóticos
T427,Intoxicação drogas antiepilépticos
T428,Intoxicação drogas antiparkinsonianos outros depressores centrais tônus muscular
T430,Intoxicação antidepressivos tricíclicos tetracíclicos
T431,Intoxicação antidepressivos inibidores monoaminooxidase (MAO)
T432,Intoxicação outros antidepressivos os não especificados
T433,Intoxicação antipsicóticos neurolépticos derivados fenotiazina
T434,Intoxicação neurolépticos tipo butirofenona tioxanteno
T435,Intoxicação outros antipsicóticos neurolépticos os não especificados
T436,Intoxicação psicoestimulantes que potencialmente podem provocar dependência
T438,Intoxicação outras drogas psicotrópicas não classificadas outra parte
T439,Intoxicação droga psicotrópica não especificada
T440,Intoxicação agentes anticolinesterase
T441,Intoxicação outros agentes parassimpaticomiméticos [colinérgicos]
T442,Intoxicação bloqueadores ganglionares não classificados outra parte
T443,Intoxicação outros parassimpaticolíticos [anticolinérgicos antimuscarínicos] espasmolíticos não classificados outra parte
T444,Intoxicação agonistas principalmente alfa-adrenorreceptores não classificados outra parte
T445,Intoxicação agonistas principalmente beta-adrenorreceptores não classificados outra parte
T446,Intoxicação antagonistas alfa-adrenorreceptores não classificados outra parte
T447,Intoxicação antagonistas beta-adrenorreceptores não classificados outra parte
T448,Intoxicação bloqueadores neuronais adrenérgicos ação central
T449,Intoxicação outras drogas que afetam principalmente o sistema nervoso autônomo as não especificadas
T450,Intoxicação drogas antialérgicas antieméticas
T451,Intoxicação drogas antineoplásicas imunomupressoras
T452,Intoxicação vitaminas
T453,Intoxicação enzimas
T454,Intoxicação ferro seus compostos
T455,Intoxicação anticoagulantes
T456,Intoxicação drogas que afetam fibrinólise
T457,Intoxicação antagonistas anticoagulantes
T458,Intoxicação outras substâncias primariamente sistêmicas hematológicas
T459,Intoxicação substância essencialmente sistêmica hematológica não especificada
T460,Intoxicação glicosídeos estimulantes coração substâncias ação semelhante
T461,Intoxicação bloqueadores canais cálcio
T462,Intoxicação outras drogas antidisrítmicas não classificadas outra parte
T463,Intoxicação vasodilatadores coronarianos
T464,Intoxicação inibidores enzima conversão angiotensina
T465,Intoxicação outras drogas anti-hipertensivas não classificadas outra parte
T466,Intoxicação drogas antihiperlipêmicas antiarterioscleróticas
T467,Intoxicação vasodilatadores periféricos
T468,Intoxicação drogas antivaricosas
T469,Intoxicação outras substâncias as não especificadas que agem essencialmente sobre o aparelho circulatório
T470,Intoxicação antagonistas receptores H2 histamina
T471,Intoxicação outros antiácidos drogas que inibem secreção gástrica
T472,Intoxicação laxativos estimulantes
T473,Intoxicação laxativos salinos osmóticos
T474,Intoxicação outros laxativos
T475,Intoxicação digestivos
T476,Intoxicação drogas antidiarréicas
T477,Intoxicação eméticos
T478,Intoxicação outras substâncias que atuam primariamente sobre o aparelho gastrintestinal
T479,Intoxicação substância não especificada que atua primariamente sobre o aparelho gastrointestinal
T480,Intoxicação drogas ocitócicas
T481,Intoxicação relaxantes musculares esqueléticos [bloqueadores neuromusculares]
T482,Intoxicação outras substâncias as não especificadas que atuam sobre os músculos
T483,Intoxicação antitussígenos
T484,Intoxicação expectorantes
T485,Intoxicação drogas anti-resfriado
T486,Intoxicação antiasmáticos não classificados outra parte
T487,Intoxicação outras substâncias as não especificadas que atuam primariamente sobre o aparelho respiratório
T490,Intoxicação antifúngicos
T491,Intoxicação antipruriginosos
T492,Intoxicação adstringentes detergentes uso local
T493,Intoxicação emolientes
T494,Intoxicação ceratolíticos
T495,Intoxicação drogas preparações uso oftalmológico
T496,Intoxicação drogas preparações uso otorrinolaringológico
T497,Intoxicação drogas dentárias uso tópico
T498,Intoxicação outras drogas uso tópico
T499,Intoxicação preparado uso tópico
T500,Intoxicação mineralocorticóides seus antagonistas
T501,Intoxicação diuréticos alça
T502,Intoxicação inibidores anidrase carbônica
T503,Intoxicação produtos que agem sobre o equilíbrio eletrolítico
T504,Intoxicação drogas que agem sobre o metabolismo ácido úrico
T505,Intoxicação inibidores apetite
T506,Intoxicação antídotos quelantes não classificados outra parte
T507,Intoxicação analépticos antagonistas receptores opiáceos
T508,Intoxicação agentes diagnóstico
T509,Intoxicação outras drogas
T510,Efeito tóxico etanol
T511,Efeito tóxico metanol
T512,Efeito tóxico 2-propanol
T513,Efeito tóxico óleo fusel
T518,Efeito tóxico outros álcoois
T519,Efeito tóxico álcool não especificado
T520,Efeito tóxico derivados petróleo
T521,Efeito tóxico benzeno
T522,Efeito tóxico homólogos benzeno
T523,Efeito tóxico glicóis
T524,Efeito tóxico cetonas
T528,Efeito tóxico outros solventes orgânicos
T529,Efeito tóxico solvente orgânico não especificado
T530,Efeito tóxico tetracloreto carbono
T531,Efeito tóxico clorofórmio
T532,Efeito tóxico tricloroetileno
T533,Efeito tóxico tetracloroetileno
T534,Efeito tóxico diclorometano
T535,Efeito tóxico clorofluorcarbono
T536,Efeito tóxico outros derivados halogênicos hidrocarbonetos alifáticos
T537,Efeito tóxico derivados halogênicos hidrocarbonetos aromáticos
T539,Efeito tóxico derivados halogênicos hidrocarbonetos alifáticos aromáticos não especificados
T540,Efeito tóxico fenol homólogos fenol
T541,Efeito tóxico outros compostos corrosivos orgânicos
T542,Efeito tóxico ácidos corrosivos substâncias semelhantes
T543,Efeito tóxico bases (álcalis) cáusticas(os) substâncias semelhantes
T549,Efeito tóxico substância corrosiva não especificada
T55,Efeito tóxico sabões detergentes
T560,Efeito tóxico chumbo seus compostos
T561,Efeito tóxico mercúrio seus compostos
T562,Efeito tóxico cromo seus compostos
T563,Efeito tóxico cádmio seus compostos
T564,Efeito tóxico cobre seus compostos
T565,Efeito tóxico zinco seus compostos
T566,Efeito tóxico estanho seus compostos
T567,Efeito tóxico berilo seus compostos
T568,Efeito tóxico outros metais
T569,Efeito tóxico metal
T570,Efeito tóxico arsênico seus compostos
T571,Efeito tóxico fósforo seus compostos
T572,Efeito tóxico manganês seus compostos
T573,Efeito tóxico cianeto hidrogênio (ácido cianídrico)
T578,Efeito tóxico outras substâncias inorgânicas especificadas
T579,Efeito tóxico substância inorgânica não especificada
T58,Efeito tóxico monóxido carbono
T590,Efeito tóxico óxidos nitrogênio
T591,Efeito tóxico dióxido enxofre
T592,Efeito tóxico formaldeído
T593,Efeito tóxico gás lacrimogêneo
T594,Efeito tóxico cloro gasoso
T595,Efeito tóxico fluoreto gasoso ácido fluorídrico
T596,Efeito tóxico ácido sulfídrico
T597,Efeito tóxico dióxido carbono
T598,Efeito tóxico outros gases
T599,Efeito tóxico gases
T600,Efeito tóxico inseticidas organofosforados carbamatos
T601,Efeito tóxico inseticidas halogenados
T602,Efeito tóxico outros inseticidas
T603,Efeito tóxico herbicidas fungicidas
T604,Efeito tóxico rodenticidas
T608,Efeito tóxico outros pesticidas
T609,Efeito tóxico pesticida não especificado
T610,Intoxicação  peixe ciguatera
T611,Intoxicação peixes escombrídeos
T612,Outras intoxicações peixes mariscos
T618,Efeito tóxico outros frutos mar
T619,Efeito tóxico frutos mar não especificados
T620,Efeito tóxico ingestão cogumelos
T621,Efeito tóxico ingestão frutos
T622,Efeito tóxico ingestão outras (partes de) plantas
T628,Efeito tóxico outras substâncias nocivas ingeridas alimento
T629,Efeito tóxico substâncias nocivas ingeridas alimento
T630,Efeito tóxico veneno serpente
T631,Efeito tóxico veneno outros répteis
T632,Efeito tóxico veneno escorpião
T633,Efeito tóxico veneno aranha
T634,Efeito tóxico veneno outros artrópodes
T635,Efeito tóxico contato peixe
T636,Efeito tóxico contato outros animais marinhos
T638,Efeito tóxico contato outros animais venenosos
T639,Efeito tóxico contato animal venenoso não especificado
T64,Efeito tóxico aflatoxina outras micotoxinas contaminantes alimentos
T650,Efeito tóxico cianetos
T651,Efeito tóxico estricnina seus sais
T652,Efeito tóxico tabaco nicotina
T653,Efeito tóxico nitroderivados aminoderivados benzeno seus homólogos
T654,Efeito tóxico dissulfeto carbono
T655,Efeito tóxico nitroglicerina outros ácidos ésteres nítricos
T656,Efeito tóxico tinturas corantes
T658,Efeito tóxico outras substâncias especificadas
T659,Efeito tóxico substância não especificada
T66,Efeitos não especificados radiação
T670,Golpe calor insolação
T671,Síncope devida calor
T672,Cãibras devidas calor
T673,Exaustão devida calor à perda hídrica
T674,Exaustão devida calor à perda sal
T675,Exaustão devida calor
T676,Fadiga transitória devida calor
T677,Edema devido calor
T678,Outros efeitos calor luz
T679,Efeito calor luz não especificado
T68,Hipotermia
T690,Mão pé imersão
T691,Congelamento [chilblains]
T698,Outros efeitos especificados temperatura reduzida
T699,Efeito não especificado temperatura reduzida
T700,Otite barotraumática
T701,Sinusite barotraumática
T702,Outros efeitos grandes altitude os não especificados
T703,Mal caixões [doença descompressão]
T704,Efeito fluidos alta pressão
T708,Outros efeitos pressão atmosférica pressão água
T709,Efeitos não especificados pressão atmosférica pressão água
T71,Asfixia
T730,Efeitos fome
T731,Efeitos sede
T732,Exaustão devida às intempéries
T733,Exaustão devido um esforço intenso
T738,Outros efeitos privação
T739,Efeito não especificado privação
T740,Abandono
T741,Sevícias físicas
T742,Abuso sexual
T743,Abuso psicológico
T748,Outras síndromes especificadas maus tratos
T749,Síndrome não especificada maus tratos
T750,Efeitos raio
T751,Afogamento submersão não mortal
T752,Efeitos vibração
T753,Doença causada  movimento
T754,Efeitos corrente elétrica
T758,Outros efeitos especificados causas externas
T780,Choque anafilático devido à intolerância alimentar
T781,Outras reações intolerância alimentar não classificadas outra parte
T782,Choque anafilático não especificado
T783,Edema angioneurótico
T784,Alergia não especificada
T788,Outros efeitos adversos não classificados outra parte
T789,Efeito adverso não especificado
T790,Embolia gasosa (traumática)
T791,Embolia gordurosa (traumática)
T792,Hemorragia traumática secundária recidivante
T793,Infecção pós-traumática ferimento não classificada outra parte
T794,Choque traumático
T795,Anúria traumática
T796,Isquemia muscular traumática
T797,Enfisema subcutâneo origem traumática
T798,Outras complicações precoces traumatismo
T799,Complicação precoce não especificada traumatismo
T800,Embolia aérea subseqüentes à infusão
T801,Complicações vasculares subseqüentes à infusão
T802,Infecções subseqüentes à infusão
T803,Reação incompatibilidade ABO
T804,Reação incompatibilidade Rh
T805,Choque anafilático devido soro
T806,Outras reações soro
T808,Outras complicações subseqüentes à infusão
T809,Complicação não especificada subseqüente à infusão
T810,Hemorragia hematoma complicando procedimento não classificado outra parte
T811,Choque durante resultante procedimento não classificado outra parte
T812,Perfuração laceração acidentais durante um procedimento não classificado outra parte
T813,Deiscência ferida cirúrgica não classificada outra parte
T814,Infecção subseqüente procedimento não classificada outra parte
T815,Corpo estranho deixado acidentalmente cavidade corporal ferida operatória subseqüente procedimento
T816,Reação aguda à substância estranha deixada acidentalmente durante um procedimento
T817,Complicações vasculares subseqüentes um procedimento não classificado outra parte
T818,Outras complicações procedimentos não classificadas outra parte
T819,Complicação não especificada procedimento
T820,Complicação mecânica prótese valvular cardíaca
T821,Complicação mecânica dispositivo eletrônico cardíaco
T822,Complicação mecânica enxerto ponte coronária implantes valvas
T823,Complicações mecânicas outros enxertos vasculares
T824,Complicação mecânica cateter vascular diálise
T825,Complicações mecânicas outros dispositivos implantes cardiovasculares
T826,Infecção reação inflamatórias devidas à prótese valvular cardíaca
T827,Infecção reação inflamatórias devidas outros dispositivos
T828,Outras complicações dispositivos protéticos
T829,Complicações não especificada dispositivo protético
T830,Complicação mecânica cateter (de demora) urinário
T831,Complicação mecânica outros dispositivos implantes urinários
T832,Complicação mecânica enxerto órgão urinário
T833,Complicação mecânica dispositivo intra-uterino (anticoncepcional)
T834,Complicação mecânica outros dispositivos protéticos
T835,Infecção reação inflamatória devidas à dispositivo protético
T836,Infecção reação inflamatória devidas à dispositivo protético
T838,Outras complicações dispositivos protéticos
T839,Complicação não especificada prótese
T840,Complicação mecânica prótese articular interna
T841,Complicação mecânica dispositivo fixação interna ossos membros
T842,Complicação mecânica dispositivo fixação interna outros ossos
T843,Complicação mecânica outros dispositivos
T844,Complicação mecânica outros dispositivos
T845,Infecção reação inflamatória devidas à prótese articular interna
T846,Infecção reação inflamatória devidas dispositivo fixação interna [qualquer local]
T847,Infecção reação inflamatória devidas outros dispositivos protéticos
T848,Outras complicações dispositivos protéticos
T849,Complicação não especificada dispositivo protético
T850,Complicação mecânica shunt ventricular (comunicação) intracraniano
T851,Complicação mecânica estimulador eletrônico implantado no sistema nervoso
T852,Complicação mecânica lente intraocular
T853,Complicações mecânicas outros dispositivos protéticos
T854,Complicação mecânica prótese implante mamários
T855,Complicação mecânica dispositivos protéticos
T856,Complicação mecânica outros dispositivos protéticos
T857,Infecção reação inflamatória devida outros dispositivos protéticos
T858,Outras complicações dispositivos protéticos
T859,Complicação não especificada outros dispositivos protéticos
T860,Rejeição transplante medula óssea
T861,Falência rejeição transplante rim
T862,Falência rejeição transplante coração
T863,Falência rejeição transplante duplo coração pulmão
T864,Falência rejeição transplante fígado
T868,Outra insuficiência rejeição outros órgãos tecidos transplantados
T869,Falência rejeição transplante órgão tecido não especificado
T870,Complicações reimplante (de parte) extremidade superior
T871,Complicações reimplante (de parte) extremidade inferior
T872,Complicações outras partes reimplantadas corpo
T873,Neuroma coto amputação
T874,Infecção coto amputação
T875,Necrose coto amputação
T876,Outras complicações as não especificadas coto amputação
T880,Infecção subseqüente à imunização
T881,Outras complicações subseqüentes à imunização não classificadas outra parte
T882,Choque devido à anestesia
T883,Hipertermia maligna devida à anestesia
T884,Entubação falha difícil
T885,Outras complicações anestesia
T886,Choque anafilático devido efeito adverso droga medicamento corretos administrados maneira apropriada
T887,Efeito adverso não especificado droga medicamento
T888,Outras complicações cuidados médicos cirúrgicos especificados não classificados outra parte
T889,Complicação não especificada cuidados médicos cirúrgicos
T900,Seqüelas traumatismo superficial cabeça
T901,Seqüelas ferimento cabeça
T902,Seqüelas fratura crânio ossos face
T903,Seqüelas traumatismo nervos cranianos
T904,Seqüelas traumatismo olho órbita
T905,Seqüelas traumatismo intracraniano
T908,Seqüelas outros traumatismos especificados cabeça
T909,Seqüelas traumatismo não especificado cabeça
T910,Seqüelas traumatismo superficial ferimento pescoço tronco
T911,Seqüelas fratura coluna vertebral
T912,Seqüelas outra fratura tórax pelve
T913,Seqüelas traumatismo medula espinhal
T914,Seqüelas traumatismo órgãos intratorácicos
T915,Seqüelas traumatismo órgãos intra-abdominais órgãos pélvicos
T918,Seqüelas outros traumatismos especificados pescoço tronco
T919,Seqüelas traumatismo não especificado pescoço tronco
T920,Seqüelas ferimento membro superior
T921,Seqüelas fratura braço
T922,Seqüelas fratura nível punho mão
T923,Seqüelas luxação
T924,Seqüelas traumatismo nervo membro superior
T925,Seqüelas traumatismo músculo tendão membro superior
T926,Seqüelas esmagamento amputação traumática membro superior
T928,Seqüelas outros traumatismos especificados membro superior
T929,Seqüelas traumatismo não especificado membro superior
T930,Seqüelas ferimento membro inferior
T931,Seqüelas fratura fêmur
T932,Seqüelas outras fraturas membro inferior
T933,Seqüelas luxação
T934,Seqüelas traumatismo nervo membro inferior
T935,Seqüelas traumatismo músculo tendão membro inferior
T936,Seqüelas esmagamento amputação traumática membro inferior
T938,Seqüelas outros traumatismos especificados membro inferior
T939,Seqüelas traumatismo não especificado membro inferior
T940,Seqüelas traumatismos envolvendo regiões múltiplas corpo
T941,Seqüelas traumatismos não especificados regiões corpo
T950,Seqüelas queimadura
T951,Seqüelas queimadura
T952,Seqüelas queimadura
T953,Seqüelas queimadura
T954,Seqüelas queimadura corrosão classificável só acordo extensão área corporal envolvida
T958,Seqüelas outra queimadura
T959,Seqüelas queimadura
T96,Seqüelas intoxicação drogas
T97,Seqüelas efeitos tóxicos substâncias origem predominantemente não-medicinal
T980,Seqüelas efeitos penetração corpo estranho através orifício natural
T981,Seqüelas outros efeitos causas externas os não especificados
T982,Seqüelas algumas complicações precoces traumatismos
T983,Seqüelas complicações cuidados médicos cirúrgicos não classificados outra parte
U04,Síndrome respiratória aguda grave [severe acute respiratory syndrome SARS]
U049,Síndrome respiratória aguda grave [Severe acute respiratory syndrome) [SARS], não especificada,U04.9 Síndrome respiratória aguda grave [SARS]
U80,Agente resistente à penicilina antibióticos relacionados
U800,Agente resistente à penicilina,U80.0 Agente resistente à penicilina
U801,Agente resistente à meticilina,U80.1 Agente resistente à meticilina
U808,Agente resistente outro antibiótico relacionado à penicilina,U80.8 Agente resist outr antibiót relac penicilina
U81,Agente resistente à vancomicina antibióticos relacionados
U810,Agente resistente à vancomicina,U81.0 Agente resistente à vancomicina
U818,Agente resistente outros antibióticos relacionado à vancomicina,U81.8 Agente resist outr antibiót relac vancomicina
U88,Agente resistente múltiplos antibióticos
U88,Agente resistente múltiplos antibióticos,U88   Agente resistente múltiplos antibióticos
U89,Agente resistente outros antibióticos antibióticos não especificados
U898,Agente resistente outro antibiótico especificado único,U89.8 Agente resist outro antibiótico espec único
U899,Agente resistente antibiótico não especificado,U89.9 Agente resistente antibiótico NE
U99,CID 10ª Revisão não disponível
U99,CID 10ª Revisão não disponível,U99   CID 10a Revisao nao disponivel
V010,Pedestre traumatizado colisão um veículo pedal - acidente não-de-trânsito
V011,Pedestre traumatizado colisão um veículo pedal - acidente trânsito
V019,Pedestre traumatizado colisão um veículo pedal - acidente não especificado se trânsito não trânsito
V020,Pedestre traumatizado colisão um veículo motor duas três rodas - acidente não-de-trânsito
V021,Pedestre traumatizado colisão um veículo motor duas três rodas - acidente trânsito
V029,Pedestre traumatizado colisão um veículo motor duas três rodas - acidente não especificado se trânsito não trânsito
V030,Pedestre traumatizado colisão um automóvel [carro]
W10,Queda escadas degraus
W11,Queda escadas mão
W12,Queda um andaime
W13,Queda fora edifícios outras estruturas
W14,Queda árvore
W15,Queda penhasco
W16,Mergulho pulo na água causando outro traumatismo que não afogamento submersão
W17,Outras quedas um nível outro
W18,Outras quedas no mesmo nível
W19,Queda especificação
W20,Impacto causado objeto lançado
W21,Impacto acidental ativo passivo causado equipamento esportivo
W22,Impacto acidental ativo passivo causado outros objetos
W23,Apertado
W24,Contato elevadores instrumentos transmissão
W25,Contato vidro cortante
W26,Contato faca
W27,Contato ferramentas manuais motor
W28,Contato segadeira motorizada cortar aparar grama
W29,Contato outros utensílios manuais aparelhos domésticos equipados motor
W30,Contato maquinaria agrícola
W31,Contato outras máquinas as não especificadas
W32,Projétil revólver
W33,Rifle
W34,Projéteis outras armas fogo não especificadas
W35,Explosão ruptura caldeira
W36,Explosão ruptura cilindro gás
W37,Explosão ruptura pneumático
W38,Explosão ruptura outros aparelhos pressurizados especificados
W39,Queima fogos artifício
W40,Explosão outros materiais
W41,Exposição um jato alta pressão
W42,Exposição ruído
W43,Exposição à vibração
W44,Penetração corpo estranho no através olho orifício natural
W45,Penetração corpo objeto estranho através pele
W46,Contato agulha hipodérmica
W49,Exposição outras forças mecânicas inanimadas às não especificadas
W50,Golpe
W51,Colisão entre duas pessoas
W52,Esmagado
